transaction_type,description,amount_field,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
ADJUSTMENT,COMMISSION_ADJUSTMENT,total,ADJUSTMENT_OTHER+settlement_id+date,,
ORDER_RETROCHARGE,any,low_value_goods,txn_ref+ORDER_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
REFUND,any,low_value_goods,txn_ref+sku+date,,
ORDER,any,low_value_goods,txn_ref+sku+date,sales_shipping,sales_shipping
ORDER,any,low_value_goods,txn_ref+sku+date,sales_product_charges,sales_product_charges
SERVICE_FEE,AWD_STORAGE_FEES,total,txn_ref+AWD_STORAGE_FEES+settlement_id+date,,
DEALS,any,total,txn_ref+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
REFUND,any,product_sales,txn_ref+sku+date,refunded_sales,refunded_sales
REFUND,any,shipping_credits,txn_ref+sku+date,refunded_sales,refunded_sales
REFUND,any,fba_fees,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,any,other_transaction_fees,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,any,marketplace_withheld_tax,txn_ref+sku+date,,
REFUND,any,sales_tax_collected,txn_ref+sku+date,,
REFUND,any,gift_wrap_credits,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt
REFUND,any,other,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt
REFUND,any,promotional_rebates,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,any,selling_fees,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,any,total,txn_ref+sku+date,,
ADJUSTMENT,BUYER_RECHARGE,other,ADJUSTMENT_BUYER_RECHARGE+settlement_id+date,total_adjustment_other_buyer_recharge_amt,total_adjustment_other_buyer_recharge_amt
ADJUSTMENT,BUYER_RECHARGE,total,ADJUSTMENT_BUYER_RECHARGE+settlement_id+date,,
ADJUSTMENT,NON-SUBSCRIPTION_FEE_ADJUSTMENT,other,ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date,sales_other,sales_other
ADJUSTMENT,NON-SUBSCRIPTION_FEE_ADJUSTMENT,total,ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date,,
ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_LOST:WAREHOUSE,other,LOST:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_LOST:WAREHOUSE,total,LOST:WAREHOUSE+sku+settlement_id+date,,
ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_GENERAL_ADJUSTMENT,other,GENERAL ADJUSTMENT+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_GENERAL_ADJUSTMENT,total,GENERAL ADJUSTMENT+sku+settlement_id+date,,
