transaction_type,amount_type,amount_description,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
FBAFEES,AWD_STORAGE_FEE,DISCOUNT_ON_FEE,txn_ref+FBA_TRANSACTION_FEES_AWD_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,AWD_PROCESSING_FEE,BASE_FEE,txn_ref+FBA_TRANSACTION_FEES_AWD_PROCESSING_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
REFUND,ITEMPRICE,TAX,txn_ref+sku+date,total_refund_expense_or_sales_amt,refunded_expenses
REFUND,ITEMPRICE,GIFTWRAP,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt
REFUND,ITEMPRICE,GOODWILL,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt
REFUND,ITEMPRICE,RESTOCKINGFEE,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt
SERVICEFEE,REFUND_FOR_ADVERTISER,TRANSACTIONTOTALAMOUNT,SERVICE_FEE_REFUND_FOR_ADVERTISER+settlement_id+date,sales_other,sales_other
ORDER_RETROCHARGE,ITEMPRICE,TAX,txn_ref+ORDER_RETROCHARGE+settlement_id+date,sales_other,sales_other
REFUND,ITEMPRICE,SHIPPING,txn_ref+sku+date,refunded_sales,refunded_sales
REFUND,ITEMPRICE,SHIPPINGTAX,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,ITEMPRICE,GIFTWRAPTAX,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,ITEMPRICE,PRINCIPAL,txn_ref+sku+date,refunded_sales,refunded_sales
REFUND,ITEMFEES,REMOTEFULFILLMENTCREDIT,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,ITEMFEES,GIFTWRAPCHARGEBACK,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,ITEMFEES,SHIPPINGCHARGEBACK,txn_ref+sku+date,refunded_expenses,refunded_expenses
